차시,번호,단어,뜻
11,1,volunteer ,<동> 자원하다  <명> 자원봉사(자)
11,2,colony ,"<명> 식민지, 집단, 군체"
11,3,negative ,"<형> 부정적인, 반대의, 거부의"
11,4,decrease ,"<동> 줄이다, 감소시키다  <명> 감소"
11,5,aisle ,"<명> 복도, 통로"
11,6,flow ,"<동> 흐르다, 흘러나오다  <명> 흐름, 유동"
11,7,positive ,"<형> 긍정적인, 적극적인, 확신하는"
11,8,personality ,"<명> 성격, 개성, 인격"
11,9,wildlife ,<명> 야생 동물[생물]  <형> 야생 동물의
11,10,population ,"<명> 인구, 주민, 개체군, 집단"
11,11,tiny ,"<형> 아주 작은 적은, 조그마한"
11,12,strip ,"<동> 벗기다, 제거하다  <명> 조각"
11,13,hierarchical ,"<형> 계층적인, 계급 조직의"
11,14,fabulous ,"<형> 멋진, 굉장한"
11,15,disorder ,"<명> 무질서, 혼란, 장애, (가벼운) 질환"
11,16,liberate ,"<동> 해방시키다, 자유롭게 만들다"
11,17,cruel,"(형) 잔인한, 잔혹한"
11,18,companion ,"<명> 동료, 동반자, 반려자"
11,19,gracious ,"<형> 상냥한, 정중한, 우아한"
11,20,differentiate ,"<동> 구별하다, 구분 짓다, 식별하다"
11,21,famine ,"<명> 기근, 기아, 굶주림"
11,22,symbol ,"<명> 상징, 부호, 기호"
11,23,outdated ,"<형> 시대에 뒤진, 구식인"
11,24,feast ,"<명> 연회, (종교적) 축제, 진수성찬"
11,25,eternally ,"<부> 영원히, 영구히, 끊임없이"
11,26,precede ,"<동> 앞서다, 선행하다, 우선하다"
11,27,superficial ,"<형> 겉으로 드러난, 표면상의, 피상적인"
11,28,appetite ,"<명> 식욕, 욕구"
11,29,density ,"<명> 밀도, 농도, 밀집"
11,30,administer ,"<동> 관리하다, 시행하다"
11,31,frank ,"<형> 솔직한, 숨김없는"
11,32,royal ,"<형> (여)왕의, 왕실[왕립]의  <명> 왕족"
11,33,instantly ,"<부> 즉시, 곧장, 즉각"
11,34,enclose ,"<동> 둘러싸다, 에워싸다, 동봉하다"
11,35,spirit ,"<명> 정신, 영혼, 기분, 마음"
11,36,blurred ,"<형> 흐릿한, 구별이 잘 안 되는, 모호한"
11,37,confine ,"<동> 한정[제한]하다, 가두다, 감금하다"
11,38,barren ,"<형> 불모의, 메마른, 황량한, 불임인"
11,39,minimize ,"<동> 최소화하다, 축소하다, 깔보다"
11,40,discouraged ,"<형> 낙심한, 낙담한"
11,41,infectious ,"<형> 전염성의, 전염되는, 전염병의"
11,42,drought ,"<명> 가뭄, 부족"
11,43,arrogant ,"<형> 거만한, 오만한"
11,44,inhabit ,"<동> 거주하다, 서식하다,  ~에 살다"
11,45,insult ,"<동> 모욕하다  <명> 모욕, 무례"
11,46,sensational ,"<형> 선풍적인, 세상을 놀라게 하는"
11,47,flavor ,"<명> 맛, 풍미, 조미료"
11,48,burst ,"<동> 터지다, 터질 듯하다  <명> 폭발"
11,49,outbreak ,"<명> (전쟁, 사고, 질병 등의) 발발[발생]"
11,50,pilot ,"<명> 조종사  <동> 조종하다, 안내하다"
12,1,organic ,"<형> 유기체의, 장기의, 유기동의"
12,2,function ,"<동> 가능하다, 작동하다  <명> 기능, 작용"
12,3,distance ,"<명> 거리, 먼 곳  <동> 멀리 떨어지게 하다"
12,4,acquire ,"<동> 얻다, 획득하다, 습득하다"
12,5,intake ,"<명> 섭취(량), 빨아들임"
12,6,behave ,"<동> 행동[처신]하다, 작용[작동]하다"
12,7,adopt ,"<동> 채택하다, 받아들이다, 입양하다"
12,8,original ,"<형> 원래의, 원본의, 독창적인  <명> 원본"
12,9,destination ,"<명> 목적지, 행선지, 도착지"
12,10,sentence ,"<명> 문장, (형의) 선고  <동> 선고하다"
12,11,irony ,"<명> 아이러니, 역설적인 것, 반어(법)"
12,12,obstacle ,"<명> 장애(물), 방해(물)"
12,13,grave ,"<명> 무덤, 묘  <형> 심각한, 중대한"
12,14,precious ,<형> 귀중(소중)한  <명> 소중한 것(사람)
12,15,rescue ,"<동> 구조[구출]하다  <명> 구조, 구출"
12,16,shock ,<명> 충격  <동> 충격을 주다
12,17,fade ,"<동> (점차) 희미해지다, 사라지다"
12,18,tragic ,"<형> 비극적인, 비극의"
12,19,genuine ,"<형> 진짜의, 진실된, 진정한"
12,20,laughter ,"<명> 웃음, 웃음소리"
12,21,circuit ,"<명> 순환(로), 순회, 회로"
12,22,slide ,"<동> 미끄러지다, (나쁜 상태로)되어가다"
12,23,evoke ,"<동> 불러일으키다, 일깨우다"
12,24,incorporate ,"<동> 통합하다, 포함하다"
12,25,swiftly ,"<부> 재빨리, 신속하게"
12,26,appoint ,"<동> 임명[지명]하다, 정하다, 약속하다"
12,27,advent ,"<명> 출현, 도래"
12,28,cherished ,"<형> 소중한, 중요하게 지켜 온"
12,29,destroy ,"<동> 파괴하다, 죽이다, 손상시키다"
12,30,grab ,"<동> 움켜쥐다, 붙잡다, 마음을 사로잡다"
12,31,suck ,"<동> 빨아들이다, 빨아 먹다, 형편없다"
12,32,tune ,"<동> 조율[조정]하다  <명> 곡, 곡조, 음색"
12,33,detect ,"<동> 탐지[발견]하다, 알아내다, 인지하다"
12,34,insert ,"<동> 넣다, 삽입하다, 끼워 넣다"
12,35,erupt ,"<동> 분출하다, 폭발하다, 터뜨리다"
12,36,elegance ,"<명> 우아함, 고상함"
12,37,seemingly ,"<부> 겉으로 보기에는, 외견상으로는"
12,38,row ,"<명> 줄, 열, 노 젓기  <동> 노를 젓다"
12,39,domestication ,"<명> 길들이기, 사육, 재배"
12,40,gross ,"<형> 총계의, 총체의, 엄청난, 심한"
12,41,disclose ,"<동> 밝히다, 폭로하다, 털어놓다"
12,42,propose ,"<동> 제안[제의]하다, 계획하다, 청혼하다"
12,43,hide ,"<동> 숨기다, 감추다, 은닉하다"
12,44,imply ,"<동> 암시[시사]하다, 내포하다, 의미하다"
12,45,prime ,"<형> 주된, 주요한, 최고의"
12,46,doom ,"<명> 운명, 죽음  <동>  ~할 운명이다"
12,47,trial ,"<명> 시도, 시험, 실험, 재판"
12,48,literary ,"<형> 문학의, 문학적인"
12,49,defeat ,"<동> 패배[좌절]시키다  <명> 패배, 좌절"
12,50,narrow ,"<형> 좁은, 한정된, 편협한  <동> 좁히다"
13,1,organize ,"<동> 조직하다, 편성하다, 정리하다"
13,2,straightforward ,"<형> 쉬운, 간단한, 똑바른, 솔직한"
13,3,poet ,<명> 시인
13,4,recognize ,"<동> 인정하다, 인지하다, 알아보다"
13,5,severe ,"<형> 심각한, 심한, 엄격한"
13,6,surface ,"<명> 표면, 지면, 수면, 외부, 외관"
13,7,replace ,"<동> 대신[대체]하다, 바꾸다, 교환하다"
13,8,request ,"<명> 요청, 신청  <동> 요청하다, 부탁하다"
13,9,aspect ,"<명> 측면, 양상, 국면, 견해"
13,10,delay ,"<동> 미루다, 연기하다  <명> 지연, 연기"
13,11,loosely ,"<부> 느슨하게, 헐겁게"
13,12,magnificent ,"<형> 장대한, 화려한, 근사한"
13,13,pour ,"<동> 붓다, 따르다, 쏟다"
13,14,breathe,"숨을 쉬다, 호흡하다"
13,15,kin ,"<명> 친족, 동족  <형> 친족의, 동족의"
13,16,vote ,"<명> 투표, 표결, 표  <동> 투표하다"
13,17,competent ,"<형> 유능한, 능력 있는"
13,18,construct ,<동> 건설구성하다  <명> 건축구조물
13,19,remedy ,<명> 치료(법)  <동> 치유[치료]하다
13,20,aim ,"<명> 목표, 목적  <동> 목표로 하다, 겨누다"
13,21,stuff ,"<명> 것(들), 물건, 재료  <동> 채워 넣다"
13,22,regular ,"<형> 규칙적인, 정기적인, 정규의, 보통의"
13,23,fuse ,"<동> 융합하다, 녹이다"
13,24,section ,"<명> 부분, 구획, 영역"
13,25,amazing ,"<형> 놀라운, 굉장한"
13,26,mythology ,<명> 신화(학)
13,27,hospitality ,"<명> 환대, 접대, 수용력"
13,28,compassion ,"<명> 동정(심), 연민"
13,29,hesitant ,"<형> 주저하는, 망설이는"
